building_class_category,sale_quarter,num_sales,avg_sale_price,median_sale_price,qoq_price_change_pct
01 ONE FAMILY DWELLINGS,1,7,6457142.857142857,4300000.0,0.0
01 ONE FAMILY DWELLINGS,2,31,9721469.806451613,5750000.0,0.33720930232558133
01 ONE FAMILY DWELLINGS,3,18,10082722.222222222,6650000.0,0.15652173913043477
01 ONE FAMILY DWELLINGS,4,19,15737225.421052631,13600000.0,1.045112781954887
02 TWO FAMILY DWELLINGS,1,10,4145000.0,4250000.0,0.0
02 TWO FAMILY DWELLINGS,2,21,8660887.57142857,6150000.0,0.44705882352941173
02 TWO FAMILY DWELLINGS,3,20,6912151.3,4775000.0,-0.22357723577235777
02 TWO FAMILY DWELLINGS,4,21,3810202.904761905,2800000.0,-0.4136125654450262
03 THREE FAMILY DWELLINGS,1,4,7212500.0,7450000.0,0.0
03 THREE FAMILY DWELLINGS,2,11,5587225.181818182,6000000.0,-0.19463087248322153
03 THREE FAMILY DWELLINGS,3,8,1783126.25,1685000.0,-0.7191666666666667
03 THREE FAMILY DWELLINGS,4,8,4257996.25,4287500.0,1.5445103857566767
04 TAX CLASS 1 CONDOS,1,1,2700000.0,2700000.0,0.0
04 TAX CLASS 1 CONDOS,2,3,4300000.0,4500000.0,0.6666666666666667
04 TAX CLASS 1 CONDOS,3,3,2877914.0,1230266.0,-0.7266075555555556
07 RENTALS - WALKUP APARTMENTS,1,74,6607168.459459459,4200000.0,0.0
07 RENTALS - WALKUP APARTMENTS,2,131,5751013.717557251,3475000.0,-0.17261904761904767
07 RENTALS - WALKUP APARTMENTS,3,73,5291213.904109589,2921000.0,-0.1594244604316547
07 RENTALS - WALKUP APARTMENTS,4,99,5652563.01010101,3924450.0,0.3435296131461829
08 RENTALS - ELEVATOR APARTMENTS,1,30,21566740.0,2980000.0,0.0
08 RENTALS - ELEVATOR APARTMENTS,2,57,7504418.736842105,1990985.0,-0.3318842281879195
08 RENTALS - ELEVATOR APARTMENTS,3,95,4959522.810526316,1162250.0,-0.4162437185614156
08 RENTALS - ELEVATOR APARTMENTS,4,95,3317635.3157894737,1420459.0,0.22216304581630464
09 COOPS - WALKUP APARTMENTS,1,87,1096333.5632183908,550000.0,0.0
09 COOPS - WALKUP APARTMENTS,2,180,853540.3277777778,511000.0,-0.07090909090909092
09 COOPS - WALKUP APARTMENTS,3,150,780594.7866666666,539500.0,0.05577299412915848
09 COOPS - WALKUP APARTMENTS,4,177,870658.4519774012,550000.0,0.019462465245597693
10 COOPS - ELEVATOR APARTMENTS,1,758,1598793.5633245383,850000.0,0.0
10 COOPS - ELEVATOR APARTMENTS,2,1428,1427763.856442577,827000.0,-0.027058823529411802
10 COOPS - ELEVATOR APARTMENTS,3,1383,1694802.626174982,827000.0,0.0
10 COOPS - ELEVATOR APARTMENTS,4,1395,1455243.1749103942,875000.0,0.058041112454655375
11 SPECIAL CONDO BILLING LOTS,1,41,3989827.0975609757,1320460.0,0.0
11 SPECIAL CONDO BILLING LOTS,2,10,1529785.2,1405279.0,0.06423443345500801
11 SPECIAL CONDO BILLING LOTS,3,3,65096246.0,11100000.0,6.898787358239894
11 SPECIAL CONDO BILLING LOTS,4,2,134450000.0,134450000.0,11.112612612612613
12 CONDOS - WALKUP APARTMENTS,1,10,10109505.1,1171000.0,0.0
12 CONDOS - WALKUP APARTMENTS,2,36,5538270.305555556,1902500.0,0.6246797608881298
12 CONDOS - WALKUP APARTMENTS,3,18,2747666.6666666665,961500.0,-0.49461235216819976
12 CONDOS - WALKUP APARTMENTS,4,12,1383861.5,843669.0,-0.12254914196567868
13 CONDOS - ELEVATOR APARTMENTS,1,1206,4800722.667495854,2544410.0,0.0
13 CONDOS - ELEVATOR APARTMENTS,2,1419,2772560.2544045104,1630000.0,-0.35937997413938794
13 CONDOS - ELEVATOR APARTMENTS,3,1378,3277399.4332365748,1580000.0,-0.030674846625766916
13 CONDOS - ELEVATOR APARTMENTS,4,1250,2672072.0128,1550000.0,-0.01898734177215189
14 RENTALS - 4-10 UNIT,1,10,2940642.5,3075000.0,0.0
14 RENTALS - 4-10 UNIT,2,19,7370305.315789473,7600000.0,1.4715447154471546
14 RENTALS - 4-10 UNIT,3,15,7257638.066666666,5100000.0,-0.32894736842105265
14 RENTALS - 4-10 UNIT,4,16,4187536.375,3000000.0,-0.4117647058823529
