neighborhood,building_class_category,property_type,sales_count,avg_sale_price,median_sale_price
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,mixed-use,38,606524.0789473684,527500.0
ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,21,1184538.142857143,1050000.0
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,residential,11,7864343.818181818,5100000.0
ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL,mixed-use,11,1960294.0,2002898.0
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,mixed-use,9,14481911.666666666,19500000.0
CHELSEA,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,353,3214761.2917847023,2301000.0
CHELSEA,10 COOPS - ELEVATOR APARTMENTS,mixed-use,178,735843.6011235955,577500.0
CHELSEA,17 CONDO COOPS,mixed-use,52,1378098.7692307692,783250.0
CHELSEA,09 COOPS - WALKUP APARTMENTS,mixed-use,45,1112304.9333333333,650000.0
CHELSEA,07 RENTALS - WALKUP APARTMENTS,residential,13,5641702.923076923,3000000.0
CHINATOWN,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,32,1272758.0,865000.0
CHINATOWN,43 CONDO OFFICE BUILDINGS,mixed-use,16,1141963.0625,1156549.5
CHINATOWN,47 CONDO NON-BUSINESS STORAGE,mixed-use,5,1175000.0,970000.0
CHINATOWN,15 CONDOS - 2-10 UNIT RESIDENTIAL,mixed-use,4,2372715.75,1852681.5
CHINATOWN,07 RENTALS - WALKUP APARTMENTS,mixed-use,3,3136296.0,3558888.0
CIVIC CENTER,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,85,4706000.094117647,3073000.0
CIVIC CENTER,10 COOPS - ELEVATOR APARTMENTS,mixed-use,22,741676.7272727273,810000.0
CIVIC CENTER,47 CONDO NON-BUSINESS STORAGE,mixed-use,14,2372021.4285714286,3145000.0
CIVIC CENTER,15 CONDOS - 2-10 UNIT RESIDENTIAL,mixed-use,13,4188620.6923076925,3375000.0
CIVIC CENTER,43 CONDO OFFICE BUILDINGS,mixed-use,3,11957515.0,11957515.0
CLINTON,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,127,1410243.7322834646,1225000.0
CLINTON,09 COOPS - WALKUP APARTMENTS,mixed-use,27,800088.0370370371,480000.0
CLINTON,10 COOPS - ELEVATOR APARTMENTS,mixed-use,27,523943.0,457500.0
CLINTON,17 CONDO COOPS,mixed-use,8,670927.5,810000.0
CLINTON,07 RENTALS - WALKUP APARTMENTS,residential,3,8600000.0,5000000.0
EAST VILLAGE,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,38,1586174.6842105263,1380000.0
EAST VILLAGE,09 COOPS - WALKUP APARTMENTS,mixed-use,31,1314741.935483871,1100000.0
EAST VILLAGE,10 COOPS - ELEVATOR APARTMENTS,mixed-use,17,1326652.9411764706,1200000.0
EAST VILLAGE,07 RENTALS - WALKUP APARTMENTS,mixed-use,16,6012283.0,5034585.5
EAST VILLAGE,15 CONDOS - 2-10 UNIT RESIDENTIAL,mixed-use,13,3007109.230769231,3134080.0
FASHION,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,39,1944040.282051282,1999999.0
FASHION,10 COOPS - ELEVATOR APARTMENTS,mixed-use,19,1562763.1578947369,1450000.0
FASHION,43 CONDO OFFICE BUILDINGS,mixed-use,16,2534606.25,2634115.0
FASHION,21 OFFICE BUILDINGS,commercial,9,18329222.222222224,4200000.0
FASHION,45 CONDO HOTELS,mixed-use,7,6179881.857142857,7353734.0
FINANCIAL,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,260,1271479.0576923077,1029750.0
FINANCIAL,11 SPECIAL CONDO BILLING LOTS,mixed-use,50,1524390.02,1345406.0
FINANCIAL,10 COOPS - ELEVATOR APARTMENTS,mixed-use,13,1120884.6153846155,1165000.0
FINANCIAL,47 CONDO NON-BUSINESS STORAGE,mixed-use,7,2405487.714285714,3682399.0
FINANCIAL,21 OFFICE BUILDINGS,commercial,2,96056734.0,96056734.0
FLATIRON,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,111,3108824.036036036,2250000.0
FLATIRON,10 COOPS - ELEVATOR APARTMENTS,mixed-use,71,1280328.281690141,926000.0
FLATIRON,21 OFFICE BUILDINGS,commercial,9,14567769.222222222,9000000.0
FLATIRON,15 CONDOS - 2-10 UNIT RESIDENTIAL,mixed-use,8,5225000.0,3575000.0
FLATIRON,43 CONDO OFFICE BUILDINGS,mixed-use,6,23789583.166666668,3418750.0
GRAMERCY,10 COOPS - ELEVATOR APARTMENTS,mixed-use,216,994045.1018518518,743000.0
GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,129,2312424.7829457363,2200000.0
GRAMERCY,43 CONDO OFFICE BUILDINGS,mixed-use,22,8713863.636363637,9505250.0
GRAMERCY,17 CONDO COOPS,mixed-use,15,1470600.0,820000.0
GRAMERCY,09 COOPS - WALKUP APARTMENTS,mixed-use,11,870572.7272727273,810000.0
GREENWICH VILLAGE-CENTRAL,10 COOPS - ELEVATOR APARTMENTS,mixed-use,261,1708835.704980843,1300000.0
GREENWICH VILLAGE-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,68,3231612.132352941,2300000.0
GREENWICH VILLAGE-CENTRAL,17 CONDO COOPS,mixed-use,63,1183602.2857142857,1100000.0
GREENWICH VILLAGE-CENTRAL,15 CONDOS - 2-10 UNIT RESIDENTIAL,mixed-use,13,4268923.076923077,3100000.0
GREENWICH VILLAGE-CENTRAL,09 COOPS - WALKUP APARTMENTS,mixed-use,11,1730454.5454545454,1150000.0
GREENWICH VILLAGE-WEST,10 COOPS - ELEVATOR APARTMENTS,mixed-use,126,1347398.3174603174,1155000.0
GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,110,4929230.318181818,2562500.0
GREENWICH VILLAGE-WEST,09 COOPS - WALKUP APARTMENTS,mixed-use,85,1279593.1411764706,970000.0
GREENWICH VILLAGE-WEST,17 CONDO COOPS,mixed-use,28,1261584.892857143,870000.0
GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS,residential,12,6829335.083333333,6600000.0
HARLEM-CENTRAL,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,178,6548749.471910113,1050000.0
HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,residential,50,2484662.88,1187500.0
HARLEM-CENTRAL,10 COOPS - ELEVATOR APARTMENTS,mixed-use,48,480733.9166666667,391335.0
HARLEM-CENTRAL,09 COOPS - WALKUP APARTMENTS,mixed-use,35,306684.4285714286,275000.0
HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS,mixed-use,24,3794903.0416666665,236044.0
HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,96,10013087.802083334,986442.5
HARLEM-EAST,09 COOPS - WALKUP APARTMENTS,mixed-use,15,338400.0,325000.0
HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS,mixed-use,10,1403065.6,248854.0
HARLEM-EAST,17 CONDO COOPS,mixed-use,9,788166.5555555555,850000.0
HARLEM-EAST,10 COOPS - ELEVATOR APARTMENTS,mixed-use,8,476500.0,477500.0
HARLEM-UPPER,13 CONDOS - ELEVATOR APARTMENTS,mixed-use,153,3440713.091503268,2544410.0
HARLEM-UPPER,10 COOPS - ELEVATOR APARTMENTS,mixed-use,19,508886.5263157895,450000.0
HARLEM-UPPER,09 COOPS - WALKUP APARTMENTS,mixed-use,17,498568.82352941175,200000.0
HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,residential,8,2346909.75,1791500.0
HARLEM-UPPER,02 TWO FAMILY DWELLINGS,residential,5,1915002.0,1725000.0
HARLEM-WEST,09 COOPS - WALKUP APARTMENTS,mixed-use,6,556339.8333333334,442500.0
HARLEM-WEST,10 COOPS - ELEVATOR APARTMENTS,mixed-use,4,533000.0,531000.0
HARLEM-WEST,07 RENTALS - WALKUP APARTMENTS,residential,3,3478259.3333333335,505000.0
HARLEM-WEST,30 WAREHOUSES,commercial,2,4390000.0,4390000.0
HARLEM-WEST,29 COMMERCIAL GARAGES,coop/other,1,16950000.0,16950000.0
INWOOD,10 COOPS - ELEVATOR APARTMENTS,mixed-use,55,1727967.1090909091,404586.0
INWOOD,07 RENTALS - WALKUP APARTMENTS,residential,17,3334823.529411765,2613000.0
INWOOD,02 TWO FAMILY DWELLINGS,residential,5,944912.4,971562.0
INWOOD,07 RENTALS - WALKUP APARTMENTS,mixed-use,2,2538000.0,2538000.0
