neighborhood,building_class_category,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,latitude,longitude,full_address,has_elevator,has_commercial,has_residential,land_to_building_ratio,price_per_square_foot,age_of_property,price_per_unit,price_per_residential_unit,price_per_commercial_unit,price_per_land_square_foot,sale_month,sale_quarter,property_type
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,745 EAST 6TH STREET,3D,10009,28.0,0.0,28.0,4542.0,18254.0,1900.0,625000.0,2023-12-13,40.72286595,-73.9772744972093,"745 EAST 6TH STREET, New York, New York 10009",0,0,1,0.2488221759614331,34.23907088857237,124.0,22321.428571428572,22321.428571428572,,137.6045794804051,12,4,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,745 EAST 6TH STREET,4B,10009,28.0,0.0,28.0,4542.0,18254.0,1900.0,565000.0,2023-12-19,40.72286595,-73.9772744972093,"745 EAST 6TH STREET, New York, New York 10009",0,0,1,0.2488221759614331,30.95212008326942,124.0,20178.571428571428,20178.571428571428,,124.39453985028622,12,4,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,209 EAST 7TH STREET,3E,10009,29.0,0.0,29.0,3900.0,18099.0,1900.0,154196.0,2023-09-15,40.72470715,-73.97980804826125,"209 EAST 7TH STREET, New York, New York 10009",0,0,1,0.21548151831592904,8.519586717498205,124.0,5317.103448275862,5317.103448275862,,39.5374358974359,9,3,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,209 EAST 7TH STREET,4E,10009,29.0,0.0,29.0,3900.0,18099.0,1900.0,154196.0,2023-09-15,40.72470715,-73.97980804826125,"209 EAST 7TH STREET, New York, New York 10009",0,0,1,0.21548151831592904,8.519586717498205,124.0,5317.103448275862,5317.103448275862,,39.5374358974359,9,3,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,191 EAST 7TH STREET,,10009,5.0,0.0,5.0,1080.0,3328.0,1910.0,2725000.0,2023-08-10,40.7249126,-73.9804499031253,"191 EAST 7TH STREET, New York, New York 10009",0,0,1,0.3245192307692308,818.8100961538462,114.0,545000.0,545000.0,,2523.1481481481483,8,3,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,221 AVENUE B,,10009,8.0,1.0,9.0,1936.0,5538.0,1904.0,10.0,2023-03-31,40.72894285,-73.97817055689012,"221 AVENUE B, New York, New York 10009",0,1,1,0.3495846876128566,0.0018057060310581437,120.0,1.1111111111111112,1.25,10.0,0.005165289256198347,3,1,mixed-use
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,6 AVENUE B,,10009,10.0,1.0,11.0,1819.0,7995.0,1900.0,7800000.0,2023-09-29,40.721693,-73.9838177,"6 AVENUE B, New York, New York 10009",0,1,1,0.22751719824890557,975.609756097561,124.0,709090.9090909091,780000.0,7800000.0,4288.07036833425,9,3,mixed-use
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,174 EAST 2ND STREET,,10009,9.0,1.0,10.0,2226.0,5250.0,1900.0,21990000.0,2024-01-30,40.72265485,-73.98460465211627,"174 EAST 2ND STREET, New York, New York 10009",0,1,1,0.424,4188.571428571428,124.0,2199000.0,2443333.3333333335,21990000.0,9878.706199460916,1,4,mixed-use
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,170 EAST 2ND STREET,,10009,36.0,3.0,39.0,4452.0,17664.0,1900.0,21990000.0,2024-01-30,40.72280365,-73.98462703614486,"170 EAST 2ND STREET, New York, New York 10009",0,1,1,0.25203804347826086,1244.9048913043478,124.0,563846.1538461539,610833.3333333334,7330000.0,4939.353099730458,1,4,mixed-use
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,177 EAST 3RD STREET,,10009,10.0,0.0,10.0,2380.0,6636.0,1900.0,10800000.0,2023-06-20,40.723305,-73.9840025006192,"177 EAST 3RD STREET, New York, New York 10009",0,0,1,0.35864978902953587,1627.48643761302,124.0,1080000.0,1080000.0,,4537.81512605042,6,2,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,175 EAST 3RD STREET,,10009,8.0,2.0,10.0,2380.0,6825.0,1900.0,10800000.0,2023-06-20,40.723326400000005,-73.98409064999998,"175 EAST 3RD STREET, New York, New York 10009",0,1,1,0.3487179487179487,1582.4175824175825,124.0,1080000.0,1350000.0,5400000.0,4537.81512605042,6,2,mixed-use
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,203 EAST 4TH STREET,,10009,10.0,0.0,10.0,2404.0,6975.0,1900.0,25507195.0,2023-12-20,40.72402375,-73.98386263125485,"203 EAST 4TH STREET, New York, New York 10009",0,0,1,0.34465949820788533,3656.9455197132615,124.0,2550719.5,2550719.5,,10610.314059900167,12,4,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,201 EAST 4TH STREET,,10009,9.0,0.0,9.0,2404.0,6875.0,1900.0,25507195.0,2023-12-20,40.72405705,-73.98394106831779,"201 EAST 4TH STREET, New York, New York 10009",0,0,1,0.34967272727272725,3710.1374545454546,124.0,2834132.777777778,2834132.777777778,,10610.314059900167,12,4,residential
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,199 EAST 4TH STREET,,10009,9.0,1.0,10.0,2404.0,7110.0,1900.0,25507195.0,2023-12-20,40.72408745,-73.98402275775484,"199 EAST 4TH STREET, New York, New York 10009",0,1,1,0.33811533052039383,3587.5098452883262,124.0,2550719.5,2834132.777777778,25507195.0,10610.314059900167,12,4,mixed-use
