neighborhood,building_class_category,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,latitude,longitude
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,745 EAST 6TH STREET,3D,10009,28.0,0.0,28.0,4542.0,18254.0,1900.0,625000.0,2023-12-13,40.72286595,-73.9772744972093
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,745 EAST 6TH STREET,4B,10009,28.0,0.0,28.0,4542.0,18254.0,1900.0,565000.0,2023-12-19,40.72286595,-73.9772744972093
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,209 EAST 7TH STREET,3E,10009,29.0,0.0,29.0,3900.0,18099.0,1900.0,154196.0,2023-09-15,40.72470715,-73.97980804826125
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,209 EAST 7TH STREET,4E,10009,29.0,0.0,29.0,3900.0,18099.0,1900.0,154196.0,2023-09-15,40.72470715,-73.97980804826125
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,191 EAST 7TH STREET,None,10009,5.0,0.0,5.0,1080.0,3328.0,1910.0,2725000.0,2023-08-10,40.724912599999996,-73.9804499031253
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,221 AVENUE B,None,10009,8.0,1.0,9.0,1936.0,5538.0,1904.0,10.0,2023-03-31,40.72894285,-73.97817055689012
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,6 AVENUE B,None,10009,10.0,1.0,11.0,1819.0,7995.0,1900.0,7800000.0,2023-09-29,40.721693,-73.9838177
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,174 EAST 2ND STREET,None,10009,9.0,1.0,10.0,2226.0,5250.0,1900.0,21990000.0,2024-01-30,40.72265485,-73.98460465211627
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,170 EAST 2ND STREET,None,10009,36.0,3.0,39.0,4452.0,17664.0,1900.0,21990000.0,2024-01-30,40.72280365,-73.98462703614486
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,177 EAST 3RD STREET,None,10009,10.0,0.0,10.0,2380.0,6636.0,1900.0,10800000.0,2023-06-20,40.723304999999996,-73.9840025006192
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,175 EAST 3RD STREET,None,10009,8.0,2.0,10.0,2380.0,6825.0,1900.0,10800000.0,2023-06-20,40.723326400000005,-73.98409064999998
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,203 EAST 4TH STREET,None,10009,10.0,0.0,10.0,2404.0,6975.0,1900.0,25507195.0,2023-12-20,40.72402375,-73.98386263125485
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,201 EAST 4TH STREET,None,10009,9.0,0.0,9.0,2404.0,6875.0,1900.0,25507195.0,2023-12-20,40.72405705,-73.98394106831779
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,199 EAST 4TH STREET,None,10009,9.0,1.0,10.0,2404.0,7110.0,1900.0,25507195.0,2023-12-20,40.72408745,-73.98402275775484
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,195 EAST 4TH STREET,None,10009,18.0,0.0,18.0,2404.0,8975.0,1913.0,5750000.0,2023-03-22,40.7241535,-73.98418131406896
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,506 EAST 6 STREET,None,10009,14.0,0.0,14.0,2426.0,6825.0,1920.0,5100000.0,2024-01-12,42.4408202,-76.4917266
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,543 EAST 6 STREET,None,10009,8.0,1.0,9.0,1820.0,7083.0,1930.0,3250000.0,2023-07-14,,
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,325 EAST 10TH STREET,None,10009,18.0,0.0,18.0,2370.0,11000.0,1900.0,9620000.0,2024-01-30,40.727371500000004,-73.98072183336237
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,504 EAST 12TH STREET,None,10009,28.0,2.0,30.0,3872.0,15428.0,1930.0,19500000.0,2023-11-08,40.72870475,-73.98097466874913
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,508 EAST 12TH STREET,None,10009,28.0,2.0,30.0,3872.0,15428.0,1930.0,19500000.0,2023-11-08,40.728657150000004,-73.98083104916375
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,315 EAST 10TH STREET,None,10009,12.0,0.0,12.0,2369.0,9348.0,1920.0,9067043.0,2023-12-20,40.72755745,-73.98110092014394
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,317 EAST 3RD STREET,9,10009,,,,,,1925.0,705500.0,2023-06-30,40.72113895,-73.97880454395417
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,311 EAST 3RD STREET,1,10009,,,,,,1920.0,468000.0,2023-09-28,40.72120745,-73.9789590940435
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,248 EAST 7TH STREET,10,10009,,,,,,1928.0,700000.0,2024-02-07,40.723522599999995,-73.97804862880011
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,248 EAST 7TH STREET,9,10009,,,,,,1928.0,700000.0,2024-02-07,40.723522599999995,-73.97804862880011
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,252 EAST 7TH STREET,3-4,10009,,,,,,1928.0,76050.0,2023-08-09,40.7234828,-73.97795971080943
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,252 EAST 7TH STREET,7-8,10009,,,,,,1928.0,910000.0,2023-11-21,40.7234828,-73.97795971080943
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,278 EAST 7TH STREET,5C,10009,,,,,,1920.0,149750.0,2023-10-17,40.72310555,-73.977057129375
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,278 EAST 7TH STREET,6B/6D,10009,,,,,,1920.0,192478.0,2024-01-11,40.72310555,-73.977057129375
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,265 EAST 7TH STREET,3,10009,,,,,,1900.0,1100000.0,2023-07-06,40.72359535,-73.97733245174277
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,257 EAST 7TH STREET,13,10009,,,,,,1900.0,999500.0,2023-07-19,40.7237748,-73.97761282259415
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,257 EAST 7TH,7,10009,,,,,,1900.0,870000.0,2023-09-15,40.9632729,-72.161648
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,249 EAST 7,18,10009,,,,,,2001.0,685000.0,2023-10-25,40.9632729,-72.161648
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,414 EAST 10TH STREET,4CD,10009,,,,,,1930.0,610000.0,2023-04-19,40.72546764285714,-73.97677707142857
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,733 EAST 9TH STREET,4B,10009,,,,,,1900.0,129137.0,2023-05-12,40.724868400000005,-73.9764852418421
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,268 EAST 4TH STREET,1A,10009,,,,,,1923.0,420000.0,2023-04-17,40.722627700000004,-73.98151519872715
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,268 EAST 4TH STREET,3C,10009,,,,,,1923.0,479000.0,2023-03-09,40.722627700000004,-73.98151519872715
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,610 EAST 5TH STREET,3,10009,,,,,,1900.0,345000.0,2023-05-03,40.72343763265306,-73.98120418367347
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,610 EAST 5TH STREET,4,10009,,,,,,1900.0,465000.0,2024-01-25,40.72343763265306,-73.98120418367347
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,204 EAST 7TH,7/8,10009,,,,,,1900.0,700000.0,2023-04-14,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,206 EAST 7TH STREET,1,10009,,,,,,1900.0,375000.0,2023-12-18,40.72438655,-73.98011753322209
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,206 EAST 7TH STREET,G,10009,,,,,,1900.0,351000.0,2023-12-13,40.72438655,-73.98011753322209
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,626 EAST 9TH STREET,1R,10009,,,,,,1910.0,775000.0,2023-09-15,40.72560675,-73.97926815866552
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,626 EAST 9TH,2F,10009,,,,,,1910.0,715000.0,2023-06-14,,
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,628 EAST 9TH STREET,1B,10009,,,,,,1910.0,215000.0,2023-07-07,40.72556685,-73.97918457829051
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,323 EAST 8TH STREET,6C,10009,,,,,,1910.0,410000.0,2024-01-22,40.725309949999996,-73.97938571304186
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,628 EAST 14TH STREET,3,10009,,,,,,1920.0,420000.0,2023-03-15,40.7286504,-73.97688206552657
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,160 EAST 2ND STREET,4A,10009,,,,,,1950.0,420000.0,2023-11-15,40.72289105,-73.985128904785
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,225 EAST 4TH STREET,24,10009,,,,,,1937.0,1695000.0,2023-06-29,40.723726850000006,-73.98308141930283
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,223-225 EAST 4TH STREET,7,10009,,,,,,1937.0,1417500.0,2023-04-20,40.7271722,-73.9917059
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,513 EAST 5TH STREET,2A,10009,,,,,,1929.0,410000.0,2023-03-03,40.724694400000004,-73.98358278534751
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,537 EAST 6TH STREET,2F,10009,,,,,,1900.0,1300000.0,2024-02-12,40.7248718,-73.98209571446424
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,512 EAST 11TH STREET,2D,10009,,,,,,1929.0,325000.0,2023-05-24,40.72801045,-73.9811838
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,534 EAST 11TH STREET,9-10,10009,,,,,,1920.0,762000.0,2023-10-24,40.7276208,-73.98033141141175
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,546 EAST 11TH STREET,2A,10009,,,,,,1900.0,713000.0,2023-08-04,40.7274497,-73.97993804503396
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,524 EAST 13TH STREET,A1,10009,,,,,,1925.0,400000.0,2023-09-26,40.7290553,-73.97980123264107
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,547-549 EAST 12TH STREET,3C,10009,,,,,,1900.0,550000.0,2023-10-31,40.7300802,-73.9836809
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,507 EAST 12TH STREET,1B,10009,,,,,,1900.0,505000.0,2023-05-25,40.72901885,-73.98075900348113
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,507 EAST 12TH STREET,2A,10009,,,,,,1900.0,585000.0,2023-05-24,40.72901885,-73.98075900348113
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,157 EAST 2 STREET,5C,10009,,,,,,1920.0,573000.0,2023-05-11,43.0378528,-75.0691281
ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,160 EAST 3RD STREET,1-B,10009,,,,,,1940.0,600000.0,2023-04-13,40.723221949999996,-73.98468143304598
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,211 EAST 3RD STREET,6F,10009,1.0,,1.0,,,,1900000.0,2024-02-16,40.7226407,-73.98234927321805
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,178 EAST 2ND STREET,2B,10009,1.0,,1.0,,,,670000.0,2023-11-16,40.74482045,-73.62739070023486
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,182 EAST 2ND STREET,3D,10009,1.0,,1.0,,,,570000.0,2023-08-14,40.7226317,-73.98422543478239
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,182 EAST 2ND STREET,4D,10009,1.0,,1.0,,,,575000.0,2023-09-14,40.7226317,-73.98422543478239
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,182 EAST 2ND STREET,4G,10009,1.0,,1.0,,,,985000.0,2023-09-06,40.7226317,-73.98422543478239
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,178-184 EAST 2ND STREET,5A,10009,1.0,,1.0,,,,949000.0,2023-07-07,40.7206959,-73.9802917
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,182 EAST 2ND STREET,5G,10009,1.0,,1.0,,,,970000.0,2023-10-12,40.7226317,-73.98422543478239
ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS,182 EAST 2ND STREET,6C,10009,1.0,,1.0,,,,725000.0,2023-08-14,40.7226317,-73.98422543478239
